,NAME,CAND_NAME,TRANSACTION_AMT
1,OATH STRATEGIES LLC,"BUSH, JEB",73864314
2,"TARGET ENTERPRISES, LLC","RUBIO, MARCO",37781739
3,"TARGET ENTERPRISES, LLC","CRUZ, RAFAEL EDWARD TED",3430412
4,"TARGET ENTERPRISES, LLC","CHRISTIE, CHRISTOPHER J",2615820
5,"TARGET ENTERPRISES, LLC","BUSH, JEB",2139136
6,"TARGET ENTERPRISES, LLC","HOEBER, AMIE",1220730
7,"TARGET ENTERPRISES, LLC","KASICH, JOHN R",1044725
8,PINPOINT MEDIA LLC,"CHRISTIE, CHRISTOPHER J",18650054
9,PINPOINT MEDIA LLC,"KASICH, JOHN R",877991
10,"NEW DAY MEDIA, LLC","KASICH, JOHN R",12009928
11,"NEW DAY MEDIA, LLC","CRUZ, RAFAEL EDWARD TED",425256
12,"SRCP MEDIA, INC.","CRUZ, RAFAEL EDWARD TED",5861527
13,"SRCP MEDIA, INC.","RUBIO, MARCO",2607801
14,"SRCP MEDIA, INC.","KASICH, JOHN R",1180247
15,RIGEL STRATEGIES LLC,"CRUZ, RAFAEL EDWARD TED",6267258
16,RIGEL STRATEGIES LLC,"RUBIO, MARCO",2510105
17,RIGEL STRATEGIES LLC,"PERRY, JAMES R (RICK)",173975
18,RIGEL STRATEGIES LLC,"KASICH, JOHN R",124618
19,ERROR IN FILING,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",4103071
20,ERROR IN FILING,"SANDERS, BERNARD",245597
21,ERROR IN FILING,"RUBIO, MARCO",108525
22,ERROR IN FILING,"CRUZ, RAFAEL EDWARD TED",97175
23,ERROR IN FILING,"PAUL, RAND",96980
24,ERROR IN FILING,"WALKER, SCOTT",93696
25,ERROR IN FILING,"BRADY, KEVIN",68557
26,ERROR IN FILING,"ELLMERS, RENEE JACISIN",49973
27,ERROR IN FILING,"PEARCE, STEVAN E.",49973
28,ERROR IN FILING,"BUSH, JEB",45264
29,REVOLUTION AGENCY,"BUSH, JEB",4621043
30,REVOLUTION AGENCY,"RUBIO, MARCO",149481
31,REVOLUTION AGENCY,"DONOVAN, DAN",129008
32,REVOLUTION AGENCY,"KASICH, JOHN R",520
33,REDWAVE COMMUNICATIONS LLC,"BUSH, JEB",2065026
34,REDWAVE COMMUNICATIONS LLC,"RUBIO, MARCO",1489203
35,REDWAVE COMMUNICATIONS LLC,"KASICH, JOHN R",214868
36,REDWAVE COMMUNICATIONS LLC,"CHRISTIE, CHRISTOPHER J",171625
37,REDWAVE COMMUNICATIONS LLC,"CRUZ, RAFAEL EDWARD TED",35259
38,"RED SEA, LLC","DAVIDSON, WARREN",961442
39,"RED SEA, LLC","ELLMERS, RENEE JACISIN",665080
40,"RED SEA, LLC","BUDD, THEODORE P MR.",456362
41,"RED SEA, LLC","KASICH, JOHN R",410218
42,"RED SEA, LLC","CRUZ, RAFAEL EDWARD TED",362000
43,"RED SEA, LLC","BUSH, JEB",283522
44,"RED SEA, LLC","DERICKSON, TIMOTHY",3391
45,"RED SEA, LLC","BEAGLE, WILLIAM",2188
46,ONMESSAGE INC.,"JINDAL, BOBBY",3027518
47,CONTENT CREATIVE MEDIA,"CRUZ, RAFAEL EDWARD TED",1500000
48,CONTENT CREATIVE MEDIA,"KASICH, JOHN R",1500000
49,INFOCISION MANAGEMENT CORP,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",2873280
50,INFOCISION MANAGEMENT CORP,"CRUZ, RAFAEL EDWARD TED",103768
51,"ON THE MARK DIRECT, LLC","CRUZ, RAFAEL EDWARD TED",992150
52,"ON THE MARK DIRECT, LLC","BUSH, JEB",683720
53,"ON THE MARK DIRECT, LLC","CHRISTIE, CHRISTOPHER J",618303
54,"ON THE MARK DIRECT, LLC","RUBIO, MARCO",601143
55,"ON THE MARK DIRECT, LLC","KASICH, JOHN R",73601
56,RED METRICS,"CRUZ, RAFAEL EDWARD TED",2331797
57,BRADY FOR CONGRESS,"BRADY, KEVIN",2270341
58,BRADY FOR CONGRESS,"BRADY, ROBERT A",11500
59,FUSE,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",2166096
60,NEYLAN & PARTNERS,"FIORINA, CARLY",2143000
61,TIBERI FOR CONGRESS,"TIBERI, PATRICK J.",2098600
62,TIBERI FOR CONGRESS,"STIVERS, STEVE MR.",4000
63,"MH MEDIA, LLC","GRAHAM, LINDSEY O",2069487
64,VOLUNTEERS FOR SHIMKUS,"SHIMKUS, JOHN M",1972455
65,HOYER FOR CONGRESS,"HOYER, STENY HAMILTON",1894250
66,THE STONERIDGE GROUP LLC,"BUSH, JEB",1500633
67,THE STONERIDGE GROUP LLC,"RUBIO, MARCO",222838
68,THE STONERIDGE GROUP LLC,"KASICH, JOHN R",165811
69,"RYAN FOR CONGRESS, INC.","RYAN, PAUL D.",1859887
70,SCALISE FOR CONGRESS,"SCALISE, STEVE MR.",1702499
71,BILL SHUSTER FOR CONGRESS,"SHUSTER, WILLIAM MR.",1691379
72,UPTON FOR ALL OF US,"UPTON, FREDERICK STEPHEN",1626350
73,"SRH MEDIA, INC.","PERRY, JAMES R (RICK)",1607355
74,"AMS COMMUNICATIONS, INC.","CLINTON, HILLARY RODHAM / KAINE, TIMOT",1555704
75,"AMS COMMUNICATIONS, INC.","POLIQUIN, BRUCE L",21456
76,"VOTER CONTACT SERVICES, LLC","PAUL, RAND",1575669
77,WALDEN FOR CONGRESS,"WALDEN, GREGORY P MR.",1540622
78,DOLD FOR CONGRESS,"DOLD, ROBERT JAMES JR",1527396
79,FRIENDS OF ERIK PAULSEN,"PAULSEN, ERIK",1509426
80,"TERRA STRATEGIES, LLC","CLINTON, HILLARY RODHAM / KAINE, TIMOT",1482297
81,GRAVES FOR CONGRESS,"GRAVES, SAMUEL B JR 'SAM'",892871
82,GRAVES FOR CONGRESS,"GRAVES, JOHN THOMAS MR. JR.",573700
83,GRAVES FOR CONGRESS,"GRAVES, GARRET",6000
84,GRAVES FOR CONGRESS,"KATKO, JOHN M",500
85,"DEL CIELO MEDIA, LLC","TARKANIAN, DANNY",718678
86,"DEL CIELO MEDIA, LLC","ROBERSON, MICHAEL",484495
87,"DEL CIELO MEDIA, LLC","FIORE, MICHELE",248957
88,TOM REED FOR CONGRESS,"REED, THOMAS W II",1420194
89,MCHENRY FOR CONGRESS,"MCHENRY, PATRICK TIMOTHY",1412442
90,"RAND PAUL FOR PRESIDENT, INC.","PAUL, RAND",1409339
91,SPECTRUM MARKETING COMPANIES,"BUSH, JEB",539812
92,SPECTRUM MARKETING COMPANIES,"FIORINA, CARLY",491478
93,SPECTRUM MARKETING COMPANIES,"RUBIO, MARCO",151980
94,SPECTRUM MARKETING COMPANIES,"CHRISTIE, CHRISTOPHER J",122168
95,SPECTRUM MARKETING COMPANIES,"KASICH, JOHN R",87205
96,WATERFRONT STRATEGIES,"THRONE-HOLST, ANNA",719050
97,WATERFRONT STRATEGIES,"GARRETT, SCOTT REP.",282393
98,WATERFRONT STRATEGIES,"VERNON, MONICA W",139500
99,WATERFRONT STRATEGIES,"ZELDIN, LEE M",133000
100,WATERFRONT STRATEGIES,"POLIQUIN, BRUCE L",107700
101,"308 MEDIA GROUP, INC.","PAUL, RAND",1370465
102,STIVERS FOR CONGRESS,"STIVERS, STEVE MR.",1343960
103,KYRSTEN SINEMA FOR CONGRESS,"SINEMA, KYRSTEN",1333324
104,MULTI MEDIA SERVICES CORPORATION,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",1300000
105,DENHAM FOR CONGRESS,"DENHAM, JEFF",1298655
106,FRIENDS OF JIM CLYBURN,"CLYBURN, JAMES E.",1296836
107,PRECISION NETWORK LLC,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",1257885
108,PRECISION NETWORK LLC,"BUSH, JEB",17569
109,PRECISION NETWORK LLC,"WALKER, SCOTT",6650
110,PRECISION NETWORK LLC,"CRUZ, RAFAEL EDWARD TED",5887
111,PRECISION NETWORK LLC,"CARSON, BENJAMIN S SR MD",1538
112,PRECISION NETWORK LLC,"RUBIO, MARCO",1538
113,PRECISION NETWORK LLC,"CHRISTIE, CHRISTOPHER J",769
114,PRECISION NETWORK LLC,"KASICH, JOHN R",769
115,FACEBOOK,"CRUZ, RAFAEL EDWARD TED",1098522
116,FACEBOOK,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",115009
117,FACEBOOK,"BUSH, JEB",3988
118,FACEBOOK,"BARTLEY, LORI ANITA MRS.",3000
119,FACEBOOK,"O'MALLEY, MARTIN JOSEPH",3000
120,FACEBOOK,"BIDEN, JOE R",1960
121,FACEBOOK,"BRIDENSTINE, JAMES FREDERICK",1875
122,FACEBOOK,"RUBIO, MARCO",1546
123,FACEBOOK,"DONOVAN, DAN",1000
124,FACEBOOK,"CARSON, BENJAMIN S SR MD",500
125,KIND FOR CONGRESS COMMITTEE,"KIND, RONALD JAMES",1212980
126,RODNEY FOR CONGRESS,"DAVIS, RODNEY L",1207697
127,SCOTT PETERS FOR CONGRESS,"PETERS, SCOTT",1205682
128,BLUEPRINT INTERACTIVE,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",1174372
129,BLUEPRINT INTERACTIVE,"BUSH, JEB",6246
130,BLUEPRINT INTERACTIVE,"CARSON, BENJAMIN S SR MD",6246
131,BLUEPRINT INTERACTIVE,"CRUZ, RAFAEL EDWARD TED",3120
132,BLUEPRINT INTERACTIVE,"RUBIO, MARCO",3120
133,GUTHRIE FOR CONGRESS,"GUTHRIE, S. BRETT HON.",1192421
134,DEVIN NUNES CAMPAIGN COMMITTEE,"NUNES, DEVIN G",1190547
135,PAT MEEHAN FOR CONGRESS,"MEEHAN, PATRICK L. MR.",1190064
136,SRCP MEDIA INC.,"WALKER, SCOTT",1179898
137,CROWLEY FOR CONGRESS,"CROWLEY, JOSEPH",1164745
138,CROWLEY FOR CONGRESS,"CROWLEY, ELIZABETH S",1000
139,PRICE FOR CONGRESS,"PRICE, THOMAS EDMUNDS",955512
140,PRICE FOR CONGRESS,"PRICE, DAVID E.",201000
141,WILSON GRAND COMMUNICATIONS,"GRAHAM, LINDSEY O",1015000
142,WILSON GRAND COMMUNICATIONS,"CARSON, BENJAMIN S SR MD",141000
143,CAMPAIGN WORKSHOP,"SANDERS, BERNARD",1094945
144,CAMPAIGN WORKSHOP,"JAYAPAL, PRAMILA",21732
145,CAMPAIGN WORKSHOP,"TEACHOUT, ZEPHYR",21732
146,CAMPAIGN WORKSHOP,"KINGSON, ERIC R. MR.",5882
147,PALLONE FOR CONGRESS,"PALLONE, FRANK JR",1128323
148,MULTI MEDIA SERVICES INC,"KASICH, JOHN R",1125000
149,"STARBOARD STRATEGIC, INC.","CLINTON, HILLARY RODHAM / KAINE, TIMOT",990165
150,"STARBOARD STRATEGIC, INC.","SMUCKER, LLOYD K",131033
151,COLLINS FOR CONGRESS,"COLLINS, DOUGLAS ALLEN",574900
152,COLLINS FOR CONGRESS,"COLLINS, CHRISTOPHER C",533450
153,COLLINS FOR CONGRESS,"COLLINS, MICHAEL A JR",9600
154,POLIQUIN FOR CONGRESS,"POLIQUIN, BRUCE L",1113812
155,COMSTOCK FOR CONGRESS,"COMSTOCK, BARBARA J HONORABLE",1091052
156,RYAN COSTELLO FOR CONGRESS,"COSTELLO, RYAN A",1083939
157,HUDSON FOR CONGRESS,"HUDSON, RICHARD L. JR.",1073000
158,CARLOS CURBELO CONGRESS,"CURBELO, CARLOS",1057074
159,JIM RENACCI FOR CONGRESS,"RENACCI, JAMES B.",1051038
160,CATHY MCMORRIS RODGERS FOR CONGRESS,"MCMORRIS RODGERS, CATHY",1037529
161,CATHY MCMORRIS RODGERS FOR CONGRESS,"RODGERS, CATHY MCMORRIS",12000
162,VALADAO FOR CONGRESS,"VALADAO, DAVID",1033979
163,LYNN JENKINS FOR CONGRESS,"JENKINS, LYNN",1032584
164,PEOPLE FOR BEN,"LUJAN, BEN R MR.",1028010
165,THE LUKENS COMPANY,"CRUZ, RAFAEL EDWARD TED",613465
166,THE LUKENS COMPANY,"WEST, BENJAMIN",255531
167,THE LUKENS COMPANY,"RUBIO, MARCO",157199
168,FRIENDS OF CHERI BUSTOS,"BUSTOS, CHERI",1025425
169,ELISE FOR CONGRESS,"STEFANIK, ELISE M.",1020152
170,GENE GREEN CONGRESSIONAL CAMPAIGN,"GREEN, RAYMOND E. 'GENE'",1001299
171,GENE GREEN CONGRESSIONAL CAMPAIGN,"GREEN, EUGENE J JR",2000
172,HILLARY FOR AMERICA,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",1001639
173,TARGET ENTERPRISES LLC,"HEANEY, ANDREW",793764
174,TARGET ENTERPRISES LLC,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",204191
175,HURD FOR CONGRESS,"HURD, WILLIAM",995753
176,FRIENDS OF JEB HENSARLING,"HENSARLING, JEB HON.",992700
177,FRIENDS OF JEB HENSARLING,"CLYBURN, JAMES E.",2500
178,RED EAGLE MEDIA GROUP,"SANDERS, BERNARD",625008
179,RED EAGLE MEDIA GROUP,"CLINTON, HILLARY RODHAM / KAINE, TIMOT",209605
180,RED EAGLE MEDIA GROUP,"ELLMERS, RENEE JACISIN",86606
181,RED EAGLE MEDIA GROUP,"HOLDING, GEORGE E MR.",46323
182,RED EAGLE MEDIA GROUP,"BRANNON, GREGORY",13877
183,KATKO FOR CONGRESS,"KATKO, JOHN M",979218
184,MCSALLY FOR CONGRESS,"MCSALLY, MARTHA E. MS.",967713
185,BLAINE FOR CONGRESS,"LUETKEMEYER, W BLAINE",963200
186,BLAINE FOR CONGRESS,"GRAVES, SAMUEL B JR 'SAM'",1000
187,FRIENDS OF JOHN BOEHNER,"BOEHNER, JOHN A.",959850
188,RIGHT STRATEGIES LLC,"FIORINA, CARLY",954912
189,KINZINGER FOR CONGRESS,"KINZINGER, ADAM",947996
190,DUFFY FOR CONGRESS,"DUFFY, SEAN",939263
191,DUFFY FOR CONGRESS,"GRANGER, KAY",1500
192,NANCY PELOSI FOR CONGRESS,"PELOSI, NANCY",933700
193,TERRI SEWELL FOR CONGRESS,"SEWELL, TERRYCINA ANDREA",925950
194,PETE SESSIONS FOR CONGRESS,"SESSIONS, PETE MR.",924700
195,KURT SCHRADER FOR CONGRESS,"SCHRADER, KURT",920900
196,SAVANNA COMMUNICATIONS LLC,"CARSON, BENJAMIN S SR MD",891128
197,SAVANNA COMMUNICATIONS LLC,"PATAKI, GEORGE E",10000
198,ANN WAGNER FOR CONGRESS,"WAGNER, ANN L.",898800
199,RENEE ELLMERS FOR CONGRESS COMMITTEE,"ELLMERS, RENEE JACISIN",886049
200,PETE AGUILAR FOR CONGRESS,"AGUILAR, PETE",885648
201,BILL FLORES FOR CONGRESS,"FLORES, BILL",880059
